experiment_type,clustering_method,clustering_param,feature_extraction_method,similarity_threshold,num_clusters,num_pairs_to_compute,adjusted_rand_index,normalized_mutual_info,precision,recall,f1_score
clustering + API,kmeans_auto,,sentence_transformer,0.7,13,1245,0.9994998748106353,0.9966769887161637,0.9991967871485944,1.0,0.9995982322217759
clustering + API,kmeans_auto,,sentence_transformer,0.8,14,1245,1.0,1.0000000000000002,1.0,1.0,1.0
clustering + API,kmeans_auto,,sentence_transformer,0.9,16,1245,0.9419967997150647,0.9671824031558967,1.0,0.909967845659164,0.9528619528619529
clustering_only,hierarchical,0.8,tfidf,,2,0,0.30574518952742225,0.49650377051360534,0.3415705656232839,1.0,0.5092099877200164
clustering + API,hierarchical,0.8,tfidf,0.7,13,1425,0.9994998748106353,0.9966769887161637,0.9991967871485944,1.0,0.9995982322217759
clustering + API,hierarchical,0.8,tfidf,0.8,14,1425,1.0,1.0000000000000002,1.0,1.0,1.0
clustering + API,hierarchical,0.8,tfidf,0.9,16,1425,0.9419967997150647,0.9671824031558967,1.0,0.909967845659164,0.9528619528619529
clustering_only,hierarchical,0.8,sentence_transformer,,5,0,0.7749507973988699,0.840434686891507,0.7048158640226629,1.0,0.8268527750083084
clustering + API,hierarchical,0.8,sentence_transformer,0.7,13,1404,0.9994998748106353,0.9966769887161637,0.9991967871485944,1.0,0.9995982322217759
clustering + API,hierarchical,0.8,sentence_transformer,0.8,14,1404,1.0,1.0000000000000002,1.0,1.0,1.0
clustering + API,hierarchical,0.8,sentence_transformer,0.9,16,1404,0.9419967997150647,0.9671824031558967,1.0,0.909967845659164,0.9528619528619529
clustering_only,hierarchical,1.0,tfidf,,2,0,0.30574518952742225,0.49650377051360534,0.3415705656232839,1.0,0.5092099877200164
clustering + API,hierarchical,1.0,tfidf,0.7,13,1425,0.9994998748106353,0.9966769887161637,0.9991967871485944,1.0,0.9995982322217759
clustering + API,hierarchical,1.0,tfidf,0.8,14,1425,1.0,1.0000000000000002,1.0,1.0,1.0
clustering + API,hierarchical,1.0,tfidf,0.9,16,1425,0.9419967997150647,0.9671824031558967,1.0,0.909967845659164,0.9528619528619529
clustering_only,hierarchical,1.0,sentence_transformer,,3,0,0.6594629908016402,0.7416843535896886,0.5918173168411037,1.0,0.7435744172145845
clustering + API,hierarchical,1.0,sentence_transformer,0.7,13,1404,0.9994998748106353,0.9966769887161637,0.9991967871485944,1.0,0.9995982322217759
clustering + API,hierarchical,1.0,sentence_transformer,0.8,14,1404,1.0,1.0000000000000002,1.0,1.0,1.0
clustering + API,hierarchical,1.0,sentence_transformer,0.9,16,1404,0.9419967997150647,0.9671824031558967,1.0,0.909967845659164,0.9528619528619529
clustering_only,hierarchical,1.2,tfidf,,2,0,0.30574518952742225,0.49650377051360534,0.3415705656232839,1.0,0.5092099877200164
clustering + API,hierarchical,1.2,tfidf,0.7,13,1425,0.9994998748106353,0.9966769887161637,0.9991967871485944,1.0,0.9995982322217759
clustering + API,hierarchical,1.2,tfidf,0.8,14,1425,1.0,1.0000000000000002,1.0,1.0,1.0
clustering + API,hierarchical,1.2,tfidf,0.9,16,1425,0.9419967997150647,0.9671824031558967,1.0,0.909967845659164,0.9528619528619529
clustering_only,hierarchical,1.2,sentence_transformer,,2,0,0.30574518952742225,0.49650377051360534,0.3415705656232839,1.0,0.5092099877200164
clustering + API,hierarchical,1.2,sentence_transformer,0.7,13,1425,0.9994998748106353,0.9966769887161637,0.9991967871485944,1.0,0.9995982322217759
clustering + API,hierarchical,1.2,sentence_transformer,0.8,14,1425,1.0,1.0000000000000002,1.0,1.0,1.0
clustering + API,hierarchical,1.2,sentence_transformer,0.9,16,1425,0.9419967997150647,0.9671824031558967,1.0,0.909967845659164,0.9528619528619529
clustering_only,dbscan_manual,"(0.5, 5)",tfidf,,2,0,0.30574518952742225,0.49650377051360534,0.3415705656232839,1.0,0.5092099877200164
clustering + API,dbscan_manual,"(0.5, 5)",tfidf,0.7,13,1425,0.9994998748106353,0.9966769887161637,0.9991967871485944,1.0,0.9995982322217759
clustering + API,dbscan_manual,"(0.5, 5)",tfidf,0.8,14,1425,1.0,1.0000000000000002,1.0,1.0,1.0
clustering + API,dbscan_manual,"(0.5, 5)",tfidf,0.9,16,1425,0.9419967997150647,0.9671824031558967,1.0,0.909967845659164,0.9528619528619529
clustering_only,dbscan_manual,"(0.5, 5)",sentence_transformer,,5,0,0.930977479693912,0.9275648688833764,0.8962536023054755,1.0,0.945288753799392
clustering + API,dbscan_manual,"(0.5, 5)",sentence_transformer,0.7,14,1244,1.0,1.0000000000000002,1.0,1.0,1.0
clustering + API,dbscan_manual,"(0.5, 5)",sentence_transformer,0.8,14,1244,1.0,1.0000000000000002,1.0,1.0,1.0
clustering + API,dbscan_manual,"(0.5, 5)",sentence_transformer,0.9,16,1244,0.9419967997150647,0.9671824031558967,1.0,0.909967845659164,0.9528619528619529
clustering_only,dbscan_manual,"(0.6, 5)",tfidf,,2,0,0.30574518952742225,0.49650377051360534,0.3415705656232839,1.0,0.5092099877200164
clustering + API,dbscan_manual,"(0.6, 5)",tfidf,0.7,13,1425,0.9994998748106353,0.9966769887161637,0.9991967871485944,1.0,0.9995982322217759
clustering + API,dbscan_manual,"(0.6, 5)",tfidf,0.8,14,1425,1.0,1.0000000000000002,1.0,1.0,1.0
clustering + API,dbscan_manual,"(0.6, 5)",tfidf,0.9,16,1425,0.9419967997150647,0.9671824031558967,1.0,0.909967845659164,0.9528619528619529
clustering_only,dbscan_manual,"(0.6, 5)",sentence_transformer,,4,0,0.8054271409479229,0.8599508569893793,0.7382789317507419,1.0,0.8494366678047115
clustering + API,dbscan_manual,"(0.6, 5)",sentence_transformer,0.7,14,1403,1.0,1.0000000000000002,1.0,1.0,1.0
clustering + API,dbscan_manual,"(0.6, 5)",sentence_transformer,0.8,14,1403,1.0,1.0000000000000002,1.0,1.0,1.0
clustering + API,dbscan_manual,"(0.6, 5)",sentence_transformer,0.9,16,1403,0.9419967997150647,0.9671824031558967,1.0,0.909967845659164,0.9528619528619529
clustering_only,dbscan_manual,"(0.7, 5)",tfidf,,2,0,0.30574518952742225,0.49650377051360534,0.3415705656232839,1.0,0.5092099877200164
clustering + API,dbscan_manual,"(0.7, 5)",tfidf,0.7,13,1425,0.9994998748106353,0.9966769887161637,0.9991967871485944,1.0,0.9995982322217759
clustering + API,dbscan_manual,"(0.7, 5)",tfidf,0.8,14,1425,1.0,1.0000000000000002,1.0,1.0,1.0
clustering + API,dbscan_manual,"(0.7, 5)",tfidf,0.9,16,1425,0.9419967997150647,0.9671824031558967,1.0,0.909967845659164,0.9528619528619529
clustering_only,dbscan_manual,"(0.7, 5)",sentence_transformer,,4,0,0.7749507973988699,0.840434686891507,0.7048158640226629,1.0,0.8268527750083084
clustering + API,dbscan_manual,"(0.7, 5)",sentence_transformer,0.7,13,1404,0.9994998748106353,0.9966769887161637,0.9991967871485944,1.0,0.9995982322217759
clustering + API,dbscan_manual,"(0.7, 5)",sentence_transformer,0.8,14,1404,1.0,1.0000000000000002,1.0,1.0,1.0
clustering + API,dbscan_manual,"(0.7, 5)",sentence_transformer,0.9,16,1404,0.9419967997150647,0.9671824031558967,1.0,0.909967845659164,0.9528619528619529
