experiment_type,clustering_method,clustering_param,feature_extraction_method,similarity_threshold,num_clusters,num_pairs_to_compute,adjusted_rand_index,normalized_mutual_info,precision,recall,f1_score,true_positives,false_positives,false_negatives
clustering_only,dbscan_manual,"(0.6, 5)",tfidf,,2,0,1.0,1.0,1.0,1.0,1.0,148,0,0
clustering + API,dbscan_manual,"(0.6, 5)",tfidf,0.7,91,148,0.17829398584324446,0.613301161523252,1.0,0.1189710610932476,0.21264367816091956,148,0,1096
clustering + API,dbscan_manual,"(0.6, 5)",tfidf,0.8,91,148,0.17829398584324446,0.613301161523252,1.0,0.1189710610932476,0.21264367816091956,148,0,1096
clustering + API,dbscan_manual,"(0.6, 5)",tfidf,0.9,91,148,0.17829398584324446,0.613301161523252,1.0,0.1189710610932476,0.21264367816091956,148,0,1096
clustering_only,dbscan_manual,"(0.7, 5)",tfidf,,2,0,1.0,1.0,1.0,1.0,1.0,219,0,0
clustering + API,dbscan_manual,"(0.7, 5)",tfidf,0.7,85,219,0.25557145008281884,0.632626818953122,1.0,0.1760450160771704,0.29938482570061514,219,0,1025
clustering + API,dbscan_manual,"(0.7, 5)",tfidf,0.8,85,219,0.25557145008281884,0.632626818953122,1.0,0.1760450160771704,0.29938482570061514,219,0,1025
clustering + API,dbscan_manual,"(0.7, 5)",tfidf,0.9,85,219,0.25557145008281884,0.632626818953122,1.0,0.1760450160771704,0.29938482570061514,219,0,1025
clustering_only,dbscan_auto,,tfidf,,1,0,1.0,1.0,1.0,1.0,1.0,36,0,0
clustering + API,dbscan_auto,,tfidf,0.7,105,36,0.04569732463516844,0.5783676915248375,1.0,0.028938906752411574,0.05625,36,0,1208
clustering + API,dbscan_auto,,tfidf,0.8,105,36,0.04569732463516844,0.5783676915248375,1.0,0.028938906752411574,0.05625,36,0,1208
clustering + API,dbscan_auto,,tfidf,0.9,105,36,0.04569732463516844,0.5783676915248375,1.0,0.028938906752411574,0.05625,36,0,1208
